,Year,Name,Episodes,Type
581,2003.0,Juubee Ninpuuchou: Ryuuhougyoku-hen,13,TV
582,1991.0,Ninja Ryuukenden,1,OVA
583,2003.0,Takahashi Rumiko Gekijou Ningyo no Mori,13,TV
584,1998.0,Night Walker: Mayonaka no Tantei,12,TV
585,2004.0,Natsu-iro no Sunadokei,2,OVA
586,2002.0,Shichinin no Nana,25,TV
587,2003.0,Mouse,12,TV
588,2003.0,Moekan The Animation,3,OVA
589,1998.0,Mamotte Shugogetten!,22,TV
590,2004.0,Major S1,26,TV
591,1996.0,Mahoutsukai Tai!,6,OVA
592,1999.0,Mahoutsukai Tai! (TV),13,TV
593,2003.0,Mahoromatic Summer Special,1,Special
594,2001.0,Mahoromatic End Year Special,1,Special
595,1998.0,Legend of Basara,13,TV
596,2004.0,Koi Kaze,13,TV
597,1999.0,Juubee-chan: Lovely Gantai no Himitsu,13,TV
598,2004.0,Juubee-chan 2: Siberia Yagyuu no Gyakushuu,13,TV
599,1999.0,Iketeru Futari,16,TV
600,2005.0,Ichigo 100% Special 2,1,Special
601,2004.0,Ichigo 100%: Koi ga Hajimaru?! Satsuei Gasshuku - Yureru Kokoro ga Higashi e Nishi e,1,Special
602,2005.0,Hachimitsu to Clover Specials,2,Special
603,2004.0,Hikaru no Go: Hokuto Hai e no Michi,1,Special
604,1997.0,Haunted Junction,12,TV
605,2002.0,Harukanaru Toki no Naka de: Ajisai Yumegatari,2,OVA
606,2004.0,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,13,TV
607,2004.0,Hanaukyou Maid-tai: La Verite,12,TV
608,1995.0,Gunsmith Cats,3,OVA
609,2004.0,Green Green Thirteen: Erolutions,1,OVA
610,2002.0,Galaxy Angel Z,9,TV
611,2002.0,Galaxy Angel 3,26,TV
612,2003.0,Galaxy Angel 3 Specials,2,Special
613,2004.0,Galaxy Angel 4,13,TV
614,2005.0,Air in Summer,2,Special
615,2005.0,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,26,TV
616,2001.0,Azumanga Daioh: Gekijou Tanpen,1,Special
617,2000.0,Denshin Mamotte Shugogetten,8,OVA
618,1997.0,Elf-ban Kakyuusei: Anata dake wo Mitsumete...,4,OVA
619,2005.0,Fullmetal Alchemist: Reflections,1,Special
620,2000.0,JoJo no Kimyou na Bouken: Adventure,7,OVA
621,1993.0,JoJo no Kimyou na Bouken,6,OVA
622,2006.0,Kashimashi: Girl Meets Girl,12,TV
623,2005.0,Koi Koi 7,13,TV
624,2004.0,Kujibiki Unbalance,3,OVA
625,2005.0,Lamune,12,TV
626,2006.0,Lemon Angel Project,13,TV
627,2005.0,Mai-HiME Specials,27,Special
628,2001.0,One: Kagayaku Kisetsu e,4,OVA
629,2000.0,Refrain Blue,3,OVA
